the cougars	bn:01345595n
troops	bn:00054975n,bn:01832090n
coalition forces	bn:00144044n,bn:01213622n
commando	bn:03415128n,bn:03691960n,bn:02316564n,bn:00020962n,bn:16431275n,bn:00174023n,bn:00020963n,bn:15543276n,bn:14647628n,bn:00166280n,bn:01692088n,bn:02644565n,bn:01359218n
security force	bn:00064483n,bn:00022026n
firefighter	bn:00034631n,bn:01703997n,bn:00497887n
peacekeeping force	bn:00061163n
government troops	
american troops	bn:02576201n
police officers	bn:00058698n
government soldiers	
the officers	
security personnel	
armed forces	bn:00005732n,bn:02528600n,bn:00184832n,bn:00284962n,bn:03687196n
iraqi forces	
police force	bn:00452716n,bn:00022026n,bn:02348132n
the security forces	
government forces	
army	bn:00005732n,bn:00024065n,bn:00005803n,bn:03446147n,bn:01368014n,bn:03436853n,bn:00005804n,bn:00005805n,bn:00635096n,bn:03838245n
detective	bn:00620692n,bn:15589340n,bn:00026633n,bn:00026634n,bn:03889409n,bn:02197028n,bn:01917447n
mission	bn:03216441n,bn:00717461n,bn:00017793n,bn:00274798n,bn:00132044n,bn:00021019n,bn:02234694n,bn:00055325n,bn:00563059n,bn:00130335n,bn:00501066n,bn:00035832n,bn:00054971n,bn:13942751n,bn:03776487n,bn:14719792n,bn:00551150n,bn:03374721n
security guards	bn:00070230n
security forces	bn:00022026n
authority	bn:00007293n,bn:00007294n,bn:01392138n,bn:02575018n,bn:03482729n,bn:03666074n,bn:00001961n,bn:00007301n,bn:00007302n,bn:00007300n,bn:00428656n,bn:14125003n,bn:00006565n
british troops	bn:03265352n
british forces	bn:02528600n
force	bn:01302705n,bn:03483744n,bn:16593682n,bn:03525317n,bn:15137256n,bn:01003503n,bn:00035771n,bn:00035772n,bn:03567296n,bn:16411340n,bn:00035770n,bn:00005732n,bn:00035775n,bn:00029873n,bn:00035773n,bn:00035774n,bn:00035768n,bn:00035769n,bn:01164529n,bn:00035767n,bn:16391573n,bn:03668975n
russian troops	
iraqi security forces	bn:02074630n
military force	bn:00005732n,bn:01164529n,bn:00035771n
us forces	bn:02576201n,bn:02325072n
u.s. forces	bn:02576201n
israeli troops	bn:00045838n
american soldiers	bn:01934776n
israeli forces	bn:00045838n
israeli soldiers	bn:00045838n
security officers	bn:00070230n
serb forces	
military forces	bn:00005732n
government	bn:00543377n,bn:00041191n,bn:00041192n,bn:01179063n,bn:03355076n,bn:00001426n,bn:00007299n,bn:01589740n
trooper	bn:03419387n,bn:00617291n,bn:00532398n,bn:00074029n,bn:00078397n,bn:02154118n,bn:00016876n,bn:03678648n,bn:00016877n
peacekeeper	bn:00061160n,bn:13896730n,bn:00061161n,bn:02125397n,bn:00856672n,bn:00061162n
british soldiers	bn:03265352n
local police	bn:10189568n
civilian	bn:03411921n,bn:02540189n,bn:00019380n,bn:03760323n,bn:02754721n
state police	bn:01777428n,bn:00074029n
u.s. soldiers	bn:02576201n
peacekeeping troops	
army troops	
police officer	bn:00766079n,bn:00058698n
the soldiers	bn:01770920n,bn:03793656n
u.s. troops	
the israeli army	
the troops	bn:00545234n
the americans	bn:16187093n,bn:01950602n,bn:02551759n,bn:03010862n,bn:15092136n,bn:14645383n,bn:15124828n
police	bn:14195005n,bn:03625354n,bn:01753388n,bn:01712997n,bn:01894935n,bn:01791588n,bn:03385170n,bn:01752939n,bn:01418839n,bn:00022026n,bn:02880992n,bn:03413951n,bn:01000823n
marines	bn:03203100n,bn:00053435n,bn:02242540n,bn:00166562n
soldier	bn:00072698n,bn:00013585n,bn:00267416n,bn:03598137n,bn:00583619n,bn:03176451n,bn:02821127n,bn:01353185n,bn:03762157n,bn:00456232n,bn:02216516n,bn:03201048n,bn:00072699n,bn:01499616n,bn:03150965n,bn:00593571n,bn:03817436n,bn:03236601n,bn:02287815n,bn:03478754n,bn:03740386n,bn:14006697n,bn:00676283n,bn:00080510n,bn:16845344n
us soldiers	bn:00005805n
personnel	bn:00061744n,bn:00030616n,bn:02865586n,bn:00035770n
security officials	
military personnel	bn:00054975n,bn:00053096n
policeman	bn:03052611n,bn:01729209n,bn:00058698n
scot	bn:15398914n,bn:15398806n,bn:00069773n,bn:01045336n
yiddish	bn:00081916n
icelandic	bn:02847723n,bn:00045754n
the english	bn:00030863n
the albanian	bn:02328995n
american	bn:03563716n,bn:03736271n,bn:01658178n,bn:14383955n,bn:03154689n,bn:00398970n,bn:03736236n,bn:00410636n,bn:03736244n,bn:00003345n,bn:00410637n,bn:00003343n,bn:00003344n,bn:00003341n,bn:00003342n,bn:03831522n,bn:14337528n,bn:02049273n
hebrew	bn:15938818n,bn:00043491n,bn:00043492n,bn:13601616n,bn:00043488n
scottish	bn:01837111n,bn:00069783n,bn:03791345n,bn:00069785n
welsh	bn:00024799n,bn:00713290n,bn:00286221n,bn:14854570n,bn:00080870n,bn:13831749n,bn:00014984n,bn:16278562n
tamil	bn:03242227n,bn:00076005n,bn:00076004n,bn:15671667n
arabic	bn:03516825n,bn:16180536n,bn:00664238n,bn:16370183n,bn:00005267n
middle eastern	bn:00054852n
filipino	bn:00034449n,bn:00034448n
english	bn:00030864n,bn:00030865n,bn:00003344n,bn:15886146n,bn:01743930n,bn:00245509n,bn:03155574n,bn:00030862n,bn:10961920n,bn:00030863n,bn:03793948n
old english	bn:15825245n,bn:01493284n,bn:00004153n
ethnic albanian	bn:02289320n
latin	bn:03474868n,bn:00010598n,bn:00014745n,bn:00068174n,bn:00050162n,bn:00050161n,bn:00050164n,bn:02137495n,bn:00050163n,bn:15878897n,bn:14772967n,bn:03365974n,bn:03411513n
mandarin	bn:15315028n,bn:00053148n,bn:00009675n,bn:01976022n,bn:00053147n,bn:03470025n,bn:00053146n,bn:00053145n,bn:01810179n,bn:00019314n,bn:00789468n,bn:03324601n,bn:02017437n,bn:01621229n
greek	bn:02000852n,bn:02003581n,bn:01788212n,bn:03886463n,bn:15161823n,bn:00041627n,bn:00041635n,bn:00041636n,bn:16690380n,bn:00041634n
mandarin chinese	bn:00009675n
russian	bn:03719042n,bn:00423000n,bn:00372968n,bn:00068622n,bn:03136895n,bn:03420925n,bn:00068624n,bn:00068625n
the hebrew	
thai	bn:03481486n,bn:00017191n,bn:15401823n,bn:14465621n,bn:15938407n,bn:00981191n,bn:15671365n,bn:00071397n,bn:02216843n
albanian	bn:00002440n,bn:00002441n,bn:16971177n,bn:00170940n,bn:02255959n
cantonese	bn:00015375n
persian	bn:00033707n,bn:00047448n,bn:03342206n,bn:00061705n,bn:13967581n,bn:00010925n,bn:16752786n
cornish	bn:00022767n,bn:00022766n,bn:16305355n,bn:00295215n,bn:00572202n,bn:00413524n
malay	bn:02158469n,bn:13605480n,bn:00829869n,bn:00052953n,bn:00052952n,bn:14363627n,bn:14130381n,bn:01154553n,bn:00007963n,bn:00052958n,bn:01320821n
indian	bn:00010203n,bn:01135694n,bn:00278035n,bn:02472224n,bn:00910097n,bn:00003418n,bn:01750286n,bn:01607541n,bn:02191313n,bn:00046430n,bn:02929703n,bn:00003346n
philippe de	
henri de	
jacques de	
jean de	
mid-1970	
early 1990s	bn:00000061n
pain	bn:03473383n,bn:00004358n,bn:00045286n,bn:00060181n,bn:00252574n,bn:00952266n,bn:01706309n,bn:03133716n,bn:03981943n,bn:03596969n,bn:00167522n,bn:03249427n,bn:03325666n,bn:16009383n,bn:17077636n,bn:00279578n,bn:00058274n,bn:00060182n,bn:00372436n,bn:03261990n
district	bn:00844762n,bn:00447815n,bn:00665617n,bn:00027810n,bn:14998933n,bn:15106782n,bn:03316691n,bn:03201537n,bn:01436126n,bn:16910749n,bn:02834196n,bn:03054986n,bn:02873681n,bn:01876639n,bn:13830220n,bn:17326877n
bala	bn:00246943n,bn:14239629n,bn:03238576n,bn:02284120n,bn:03490497n,bn:01001959n,bn:14277364n,bn:03398631n,bn:02221112n,bn:16878842n,bn:03688414n,bn:02439138n,bn:02668247n,bn:15367775n,bn:00367295n
bagh	bn:00928247n,bn:00134565n,bn:15566125n,bn:14110413n
broncos	bn:00013306n
the cleveland browns	bn:03505465n
the new england patriots	bn:01459188n
packers	bn:00438799n
browns	bn:01130103n,bn:03123323n
vikings	bn:00079998n,bn:02991057n,bn:03666839n,bn:02696085n,bn:15459281n,bn:15659947n,bn:16881602n,bn:15855745n
jets	bn:13701634n,bn:13701633n
louis rams	
the new york jets	bn:01459414n
eagles	bn:03709985n,bn:00440173n,bn:14799020n,bn:00149782n,bn:14981786n,bn:00010631n,bn:03800364n,bn:16032522n,bn:02150567n,bn:03186504n
the minnesota vikings	bn:01287755n
new york giants	bn:01846744n,bn:03336727n,bn:01464576n,bn:03362130n,bn:03268200n,bn:02210085n
chiefs	bn:00963120n,bn:03492134n,bn:15442708n
bengals	
titans	bn:16111068n,bn:17125774n,bn:00980480n,bn:02368924n,bn:03201827n,bn:13821773n,bn:00077393n,bn:02432881n
colts	
bills	bn:14328287n
the buffalo bills	
cowboys	bn:02438057n,bn:14655675n,bn:01774322n
raiders	bn:01703319n
falcons	bn:03347260n,bn:00032795n,bn:01285861n
the denver broncos	bn:03692374n
the san diego chargers	
jaguars	bn:00033987n
the dallas cowboys	bn:03692268n
packer	bn:00007946n,bn:00007806n,bn:16847016n,bn:00054036n,bn:16675462n
redskins	bn:03631874n,bn:00528868n,bn:02728223n
the pittsburgh steelers	
bears	bn:00009342n,bn:16868656n,bn:00869630n
chargers	bn:02077374n
steelers	bn:01646224n
oiler	bn:00058773n,bn:00058770n,bn:00058768n,bn:00811820n,bn:01075430n
lions	bn:01286706n,bn:01312941n,bn:02670458n,bn:03574387n,bn:16849627n,bn:00049156n,bn:01306102n,bn:16331572n
the new york giants	bn:01464576n
giants	bn:14160575n,bn:03053362n,bn:00040389n,bn:02847126n,bn:02438057n,bn:03670766n,bn:01534023n,bn:00048452n,bn:02286224n,bn:02889938n,bn:14365800n,bn:02563595n
the jaguars	
cougars	bn:01008826n,bn:10778969n,bn:01310359n,bn:00016668n
saints	bn:03850380n,bn:02792571n,bn:00576016n,bn:03305598n,bn:03657824n,bn:01174706n,bn:00305548n,bn:00068856n
dolphins	bn:00028133n,bn:00776666n,bn:03891956n,bn:03841662n
panther	bn:00944121n,bn:15347897n,bn:03851934n,bn:01887874n,bn:14417641n,bn:00311329n,bn:02295372n,bn:00841039n,bn:02526369n,bn:01811819n,bn:01836972n,bn:03487042n,bn:00033987n,bn:03336328n,bn:00016668n,bn:15357122n,bn:03042137n,bn:00060435n,bn:03441316n,bn:00935849n,bn:17114135n
cardinals	bn:13768453n,bn:13768452n,bn:13768451n
the washington redskins	bn:02728223n
panthers	bn:00264596n,bn:03786118n
the green bay packers	bn:00438799n
patriots	bn:00056956n,bn:01060136n,bn:14589542n,bn:17347200n,bn:02031032n,bn:00081002n
the major	bn:14792975n,bn:01293473n,bn:16848046n,bn:17348787n
the many	bn:03139438n
the great	
the obvious	bn:02843788n
the various	bn:00987893n
the main	bn:01458241n
the best	bn:14618729n,bn:15807246n,bn:02466959n,bn:03515116n,bn:15427479n,bn:00827474n,bn:15316460n,bn:14509724n,bn:02496895n,bn:14677294n,bn:01362151n,bn:16987288n,bn:00611784n,bn:01781792n,bn:03353323n,bn:01006271n,bn:14282662n,bn:01369235n,bn:00203110n,bn:01008422n,bn:15964198n
the primary	
the key	bn:01217162n,bn:02222782n,bn:03235875n,bn:02214660n,bn:16768210n,bn:03825366n,bn:01309081n,bn:00120000n,bn:03818164n,bn:03578630n,bn:03582167n,bn:01765125n,bn:01188102n,bn:01872103n,bn:03002256n,bn:16495458n,bn:15739674n,bn:01770389n,bn:14637661n,bn:00813388n
the dominant	
the greatest	bn:02454270n,bn:01994919n,bn:00302475n,bn:14125298n,bn:16570246n,bn:01555244n,bn:16729051n,bn:01899987n,bn:01507205n,bn:02762087n
the principal	bn:03370527n
reader	bn:00785138n,bn:00066369n,bn:00066368n,bn:00066367n,bn:00064730n,bn:00066366n,bn:00066365n,bn:15125363n,bn:02161218n,bn:00050484n,bn:00050485n,bn:00050300n,bn:00425483n,bn:13977464n,bn:01828242n,bn:00066372n,bn:00190266n
first degree	bn:00034767n,bn:03434767n
b.s.	bn:00007714n
expertise	bn:00032324n
associate	bn:00006535n,bn:00767052n,bn:00006534n,bn:00060819n,bn:03697950n,bn:00006533n,bn:00006532n,bn:00006531n
m.s.	bn:00053731n
ma	bn:00439409n,bn:00004379n,bn:00704652n,bn:00652406n,bn:03734961n,bn:00006662n,bn:00052512n,bn:03144251n,bn:00078738n,bn:00004401n,bn:00009233n,bn:16583490n,bn:00001939n,bn:17126794n,bn:01821546n,bn:14961467n,bn:00081857n,bn:03511641n,bn:00052511n,bn:01824071n,bn:00003195n,bn:15621449n,bn:00000145n,bn:01093520n,bn:03298983n,bn:01298353n,bn:14975789n,bn:17356088n
graduate	bn:03366025n,bn:00041255n,bn:00003164n,bn:00656912n,bn:03665360n,bn:02393728n
diploma	bn:01552501n,bn:01024034n,bn:00027280n
senior lecturer	bn:03156534n
courses	bn:02200293n
the certificate	bn:00456114n
the msc	
the diploma	
degree	bn:00578076n,bn:00025967n,bn:00025968n,bn:00025965n,bn:00025966n,bn:03198671n,bn:00338017n,bn:00005380n,bn:00036402n,bn:14704529n,bn:00025969n,bn:02444993n,bn:00000554n,bn:00296348n,bn:02138103n
scholar	bn:14364218n,bn:00012135n,bn:00006521n,bn:00069614n,bn:00069613n
tutor	bn:00020120n,bn:02635946n
qualification	bn:00065535n,bn:15036296n,bn:16842851n,bn:00065536n,bn:00052915n
masters degree	bn:00053719n
doctorate	bn:00028005n,bn:00061856n,bn:00027997n
m.a.	bn:16173622n,bn:00003195n,bn:00652406n,bn:03144251n
laude	bn:03551392n,bn:03236651n
ba	bn:03136141n,bn:00000193n,bn:03233068n,bn:15539262n,bn:01853381n,bn:03762914n,bn:03597372n,bn:00044666n,bn:17355885n,bn:02015948n,bn:02713034n,bn:00817921n,bn:03496191n,bn:00006886n,bn:02259135n,bn:02659184n
research fellow	bn:14441444n,bn:00900224n
bachelor of arts degree	bn:00000193n
certificate	bn:01539721n,bn:03460103n,bn:00708326n,bn:00017367n,bn:00017368n
masters	bn:03565124n,bn:00029742n,bn:03373682n,bn:03527170n,bn:01713184n,bn:02604482n,bn:03523684n
earned a degree	
law degree	bn:00050254n
bs	bn:00007714n,bn:14073972n,bn:00007821n,bn:02058312n,bn:13920867n
b.a.	bn:00000193n
m.d.	bn:00028003n,bn:00868427n
lecture	bn:00050486n,bn:00050487n,bn:00050488n,bn:00001304n,bn:00059244n
national diploma	bn:03612241n,bn:00030859n,bn:13831988n,bn:03405323n,bn:16860286n
bachelor of science	bn:00007714n,bn:00007686n,bn:15476303n
chair	bn:00017515n,bn:00030515n,bn:01797178n,bn:00017516n,bn:00017517n,bn:02422275n,bn:00017518n,bn:00017519n,bn:00945975n,bn:00064601n,bn:01539182n
bachelor	bn:00989951n,bn:14625750n,bn:00007702n,bn:00007703n
lecturer	bn:00050491n,bn:00050485n,bn:00059244n
mba	bn:00053723n
master	bn:02426522n,bn:03467452n,bn:00015752n,bn:00773815n,bn:00777545n,bn:00018200n,bn:00053716n,bn:01917490n,bn:00053718n,bn:03764183n,bn:03356703n,bn:00053714n,bn:01387605n,bn:03357861n,bn:14456038n,bn:02850436n,bn:03177771n,bn:00052017n,bn:03611939n,bn:03801061n,bn:01808002n,bn:01448078n,bn:14051913n,bn:00053715n,bn:00053717n,bn:14378180n,bn:00053713n,bn:00057079n,bn:16462656n,bn:00052664n,bn:01897126n,bn:16261992n,bn:14122680n,bn:00043325n
doctor	bn:02012226n,bn:01268167n,bn:01248706n,bn:03362689n,bn:00989515n,bn:00551248n,bn:02467294n,bn:14453715n,bn:00559146n,bn:00027976n,bn:13888609n,bn:00027993n,bn:03857748n,bn:00027995n,bn:15818409n,bn:01522019n,bn:02065425n,bn:01333357n,bn:00462611n,bn:02012227n,bn:03424035n,bn:00142612n,bn:01248701n,bn:01784568n,bn:15401716n,bn:00027994n,bn:01248685n,bn:03179886n,bn:00720313n,bn:01248691n
bachelor of arts	bn:00000193n,bn:03768350n
fellow	bn:00302383n,bn:00034002n,bn:00014190n,bn:00011241n,bn:00020621n,bn:00009419n,bn:00034001n,bn:00006532n
high school diploma	bn:15169959n,bn:01819425n
the ma	
diplomas	bn:00027280n
honours degree	bn:00044666n
j.d.	bn:03198082n
undergraduate degree	bn:01807810n
professorship	bn:00017516n,bn:14264771n
put the game	
lost the match	
lost the game	bn:03483146n
take the lead	bn:02530745n,bn:17218353n,bn:00373609n,bn:03196673n
came back	
broke away	bn:03669608n
pulled away	
won the race	
tie	bn:00212199n,bn:00077210n,bn:00077211n,bn:00051401n,bn:01845119n,bn:00077208n,bn:00057149n,bn:00001755n,bn:00077209n,bn:00996621n,bn:00832634n,bn:00024019n,bn:03776185n,bn:00028625n
finish the season	
turned the ball	
won the series	
pitch	bn:00026068n,bn:00040850n,bn:02359596n,bn:00069870n,bn:00020468n,bn:03799527n,bn:03881264n,bn:00007088n,bn:00062649n,bn:00062647n,bn:00062648n,bn:00062645n,bn:00062646n,bn:00052362n,bn:00062643n,bn:00062644n,bn:03733130n,bn:03229395n,bn:02588329n,bn:03301849n,bn:00006752n
tied the game	
win	bn:00841307n,bn:00081253n,bn:02680502n,bn:01276622n,bn:13812640n,bn:00561864n,bn:00943486n,bn:00430875n,bn:02363521n,bn:00064638n
pull away	
won the first game	
win the game	bn:14370577n
closed the gap	
began the season	
tie the game	
took control	
cut the lead	
started the season	
opened the season	
last won	
finished the season	
got the ball	
made the playoffs	
scored four	
won 10	
regained the lead	
got on the board	
entered the game	
won the game	
won seven	
won eight	
taliban and al-qaida	
officials and witnesses	
suisse	bn:00069666n,bn:00824168n
salomon	bn:00043219n,bn:17176935n,bn:00433582n
brothers	bn:15499120n,bn:01432933n,bn:00942353n,bn:00702306n,bn:00071400n,bn:03569968n,bn:01396990n,bn:15732780n,bn:02398169n,bn:01194773n,bn:01461804n,bn:01917113n,bn:03679578n,bn:00537595n,bn:00500740n,bn:16948968n,bn:15759394n,bn:02260141n,bn:00404015n,bn:03495714n,bn:15579504n,bn:02000529n,bn:03037978n,bn:01965427n,bn:01593227n,bn:00300153n,bn:03750872n,bn:14735889n
j.p. morgan	bn:00047782n
ubs	bn:01939046n,bn:15365851n
lynch	bn:00390465n,bn:02902025n,bn:00052457n,bn:03765295n,bn:00052458n,bn:01210948n
merrill	bn:02914519n,bn:01960466n,bn:00290741n,bn:01278033n,bn:00267931n,bn:00499695n
bank	bn:01885340n,bn:16965852n,bn:15346085n,bn:00068138n,bn:00008364n,bn:00008365n,bn:00008366n,bn:02651803n,bn:00008367n,bn:00008368n,bn:00301514n,bn:00022742n,bn:00008369n,bn:11908169n,bn:02772696n,bn:01813953n,bn:00008412n,bn:00008370n,bn:15181544n,bn:00008371n,bn:00008372n,bn:00008363n
goldman sachs	bn:02712473n
morgan	bn:00055886n,bn:00357060n,bn:02650849n,bn:15885424n,bn:03321236n,bn:00557118n,bn:00025186n,bn:00043728n,bn:03031419n,bn:15720201n,bn:00365261n,bn:02566696n,bn:01279810n,bn:00047782n,bn:00573312n,bn:00365302n,bn:00055887n,bn:00131049n,bn:00220059n,bn:00596256n,bn:00050891n,bn:00600177n,bn:15825264n,bn:01906494n,bn:03166600n
generale	bn:00037663n
credit suisse	bn:03723581n
bear	bn:03254677n,bn:00208523n,bn:00009343n,bn:16137215n,bn:16439001n,bn:02360089n,bn:00009342n,bn:03808417n,bn:14952495n,bn:13914465n,bn:14228223n,bn:03501012n,bn:01661131n,bn:00568030n,bn:02112060n,bn:00709300n,bn:15012361n
paribas	bn:14718110n
credit	bn:00023673n,bn:00023669n,bn:00023668n,bn:00023667n,bn:00022096n,bn:00025628n,bn:00022100n,bn:00000939n,bn:03551697n,bn:00023683n,bn:00023672n,bn:00023671n,bn:00023670n,bn:00023293n
morgan stanley	bn:03613769n
sachs	bn:14993799n,bn:01052835n,bn:03527791n
lehman brothers	bn:03774324n
bear stearns	bn:03822891n
abn amro	bn:03101761n
deutsche	bn:13860041n
wachovia	bn:01330239n
jp morgan	bn:00047782n
warburg	bn:03159175n,bn:00059726n,bn:00000532n,bn:03218303n
salomon brothers	bn:00162050n
mutual	bn:00497654n
smith barney	bn:14119922n
credit suisse first boston	bn:03809878n
wells fargo	bn:00898325n,bn:02102888n
aig	bn:03311977n,bn:03561738n
stearns	bn:01978757n,bn:01207798n,bn:00282822n
royal bank of scotland	bn:03812702n
amro	bn:00408824n
bank of america	bn:02832680n,bn:01537326n,bn:17132918n,bn:00904302n
enron	bn:00135481n,bn:15639395n
chase	bn:15283646n,bn:03227283n,bn:02780953n,bn:02829441n,bn:00174713n,bn:00790124n,bn:00600109n,bn:03248121n,bn:02106435n,bn:01157772n,bn:00017922n,bn:03350870n,bn:00017920n,bn:00976552n,bn:02119762n,bn:00677464n,bn:00074145n,bn:02748003n,bn:02454915n,bn:02781169n,bn:02425047n,bn:01740732n,bn:15943831n,bn:03694782n,bn:01312805n,bn:02815083n,bn:00017921n
goldman	bn:00030569n
bnp paribas	bn:03371364n
societe generale	bn:00758156n
lehman	bn:15339202n
barclays	bn:02908798n
salomon smith barney	bn:00162050n
barney	bn:00468291n,bn:03078573n,bn:14828376n,bn:02156077n,bn:14828367n,bn:02102165n,bn:00836702n,bn:01407096n
jpmorgan chase	bn:01621195n
citicorp	bn:01344299n
witter	bn:01121317n
merrill lynch	bn:02733698n
fargo	bn:14714570n,bn:00220684n,bn:03898659n,bn:00631000n,bn:00190150n,bn:03449114n,bn:16953724n,bn:00464554n,bn:00491973n,bn:16893657n,bn:00033673n,bn:15445789n
deutsche bank	bn:03315023n,bn:01490315n
stanley	bn:00591805n,bn:00457051n,bn:00228142n,bn:00581187n,bn:01127289n,bn:03438074n,bn:15505676n,bn:00253167n,bn:00036210n,bn:00898256n,bn:00285483n,bn:02679631n,bn:01249442n,bn:00453940n,bn:15351724n,bn:03098013n,bn:00237496n,bn:16335961n,bn:00043725n,bn:00527344n,bn:00592998n,bn:00117724n,bn:03342546n,bn:01186417n,bn:00467810n,bn:14402759n
citibank	bn:00872627n,bn:01204712n,bn:11240533n,bn:01621388n,bn:00320504n
morgan stanley dean witter	bn:03613769n
south	bn:16086703n,bn:00072961n,bn:00072962n,bn:01602282n,bn:17067400n,bn:03793875n,bn:00029053n,bn:02018363n,bn:00410028n,bn:00072960n,bn:00057102n,bn:02533872n,bn:03862143n,bn:03794254n,bn:02843641n,bn:00021710n,bn:00073013n,bn:02220760n,bn:00069945n,bn:00058102n,bn:15581076n,bn:01080425n
north	bn:02287188n,bn:02943308n,bn:00036324n,bn:00029051n,bn:00057102n,bn:03721687n,bn:14293259n,bn:03834586n,bn:00058032n,bn:00073013n,bn:00058034n,bn:02860863n,bn:03198296n,bn:00021314n,bn:02340884n,bn:02533877n,bn:01773339n,bn:00546232n,bn:00176973n,bn:01239747n,bn:03867251n,bn:14653763n,bn:00058031n,bn:02032104n,bn:00069945n,bn:00058033n,bn:00058102n,bn:03387800n
five years	bn:14495278n,bn:03139835n
decade	bn:01024961n,bn:02066660n,bn:00025646n,bn:00913275n,bn:03702528n,bn:01481020n,bn:16085234n,bn:00139348n,bn:00000008n,bn:02580829n
several years	
the weekend	bn:02804522n,bn:01061416n,bn:03703554n,bn:01552689n,bn:02165852n,bn:01811798n
year	bn:00004401n,bn:00019481n,bn:00004379n,bn:00081857n,bn:00001939n,bn:00000145n,bn:00006662n,bn:00081856n,bn:00078738n
next five years	
the coming months	
the next decade	bn:02517948n,bn:01666655n
four years	
time period	bn:00061605n
100 years	bn:03494553n,bn:00190452n
next few days	
twenty years	bn:03372723n
the next week	
last few days	
period of time	bn:00061605n,bn:00077270n
period	bn:14060855n,bn:03749002n,bn:00036777n,bn:15436227n,bn:00061614n,bn:00001648n,bn:00061615n,bn:00040167n,bn:00061605n,bn:00040165n,bn:00031353n,bn:15152711n,bn:00016665n,bn:00031261n,bn:03613542n,bn:00207123n,bn:00258933n,bn:02102134n,bn:00061606n,bn:00061607n,bn:00061608n,bn:00054358n,bn:00045520n,bn:00036471n
eight years	
last few weeks	
ten years	bn:13844463n
the next four years	bn:16428813n
past month	
next several years	
past few weeks	
10 years	bn:15333907n,bn:13844463n,bn:03589271n,bn:03880440n
the summer	bn:01594798n,bn:14504289n
the last five years	bn:03807821n,bn:14154833n
13 years	bn:03331354n,bn:03331805n
past years	
past few months	
the long term	
coming days	bn:01957244n
past couple	
several months	
two decades	
next six months	
nine years	
three years	bn:14064625n
weekend	bn:15466970n,bn:02724926n,bn:13940337n,bn:03741465n,bn:00201150n,bn:03604455n,bn:17011897n,bn:02109445n,bn:14779212n,bn:14096921n,bn:01396644n,bn:02460984n,bn:02464063n,bn:01125164n,bn:00647967n,bn:16728821n,bn:00080816n,bn:16696307n,bn:00080813n,bn:00774630n
next few years	
long period of time	
the next year	
one year	bn:01556500n
last few months	
thirty years	
past five years	
five-year period	
six years	
40 years	bn:00480619n
past few days	
many years	bn:00859285n
year period	
two years	
number of years	
three decades	
seven years	bn:02063194n,bn:00759837n,bn:01040954n
18 months	bn:03036280n
next three years	
u l	
r s	
u p	
r v	bn:00065773n
u s	bn:00003341n
u v	bn:01284346n
u w	
editorial	bn:00020825n
e	bn:02819690n,bn:03859211n,bn:03679672n,bn:00029340n,bn:00029342n,bn:03170702n,bn:03624518n,bn:14881006n,bn:03320886n,bn:00005677n,bn:15360413n,bn:02010878n,bn:16019577n,bn:03728342n,bn:03299804n,bn:01709392n,bn:00029050n,bn:00581069n,bn:01238994n,bn:03752597n,bn:03302696n,bn:00053983n,bn:00029341n,bn:14583028n,bn:03717003n,bn:03531816n,bn:03424182n,bn:03410922n,bn:17175151n,bn:03524000n,bn:03338227n,bn:00054706n,bn:01571100n,bn:17261633n,bn:00006930n,bn:17012064n,bn:03512052n
f	bn:00032580n,bn:00006921n,bn:17082283n,bn:01827514n,bn:14199975n,bn:01431580n,bn:03286301n,bn:00462704n,bn:00003612n,bn:02397417n,bn:03338862n,bn:02254325n,bn:00041213n,bn:00041241n,bn:17014789n,bn:00726588n,bn:00026447n,bn:00025971n,bn:03316339n,bn:01757412n,bn:00032575n,bn:00032574n
k	bn:03359265n,bn:02570015n,bn:03307512n,bn:00000010n,bn:00048692n,bn:00013771n,bn:00048694n,bn:03056611n,bn:00729037n,bn:01275220n,bn:00048968n,bn:17227842n,bn:03002484n,bn:00744135n,bn:10125735n,bn:15670865n,bn:01838111n,bn:03644786n,bn:00136330n,bn:00006848n,bn:03428891n,bn:00048693n,bn:02994767n,bn:00048695n,bn:00016632n,bn:03736954n,bn:03781153n,bn:00191859n,bn:03226685n,bn:03705950n,bn:03093954n
p	bn:00006845n,bn:03752556n,bn:00876964n,bn:01827436n,bn:00170395n,bn:03310939n,bn:00887256n,bn:02247420n,bn:15309880n,bn:03592025n,bn:00060045n,bn:02995109n,bn:03221527n,bn:03506566n,bn:00062194n
r a	
r	bn:00037392n,bn:03708664n,bn:01094084n,bn:02094379n,bn:03316172n,bn:03442320n,bn:00065772n,bn:00065770n,bn:02960739n,bn:03357754n,bn:03090378n,bn:02458267n,bn:00932811n,bn:01831130n,bn:03428891n,bn:01672747n,bn:00669284n,bn:16870113n,bn:02247441n,bn:00065771n,bn:14187713n,bn:01843379n,bn:14635640n,bn:03579396n,bn:15491718n
s	bn:03270729n,bn:00006846n,bn:03165436n,bn:02934629n,bn:03297747n,bn:01814305n,bn:00029053n,bn:15213689n,bn:02459970n,bn:03812861n,bn:00633859n,bn:00031061n,bn:02541269n,bn:00030459n,bn:00068673n,bn:00068672n,bn:02248576n,bn:01080399n,bn:00357737n,bn:02934551n,bn:00054702n
